Region 2018,Catchment Name,LAWA Catchment Identifier,Detailed Category,Area 1996 (ha),Area 2001 (ha),Area 2008 (ha),Area 2012 (ha),Area 2018 (ha),Area as % of Catchment Area 1996 (%),Area as % of Catchment Area 2001 (%),Area as % of Catchment Area 2008 (%),Area as % of Catchment Area 2012 (%),Area as % of Catchment Area 2018 (%),Area change: 2018 area minus 1996 area (ha),Area change as a % of 1996 area (%),Created
Canterbury Region,Port Levy,1004093,High Producing Exotic Grassland,5185.1,5183.5,5047.3,5045.5,5050.1,81.6,81.6,79.4,79.4,79.5,-135.0,-2.6,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Exotic Forest,411.1,416.3,557.1,548.3,552.4,6.5,6.6,8.8,8.6,8.7,141.3,34.4,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Broadleaved Indigenous Hardwoods,393.7,389.5,389.5,389.5,389.5,6.2,6.1,6.1,6.1,6.1,-4.2,-1.1,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Manuka and/or Kanuka,249.1,249.1,245.2,245.2,245.2,3.9,3.9,3.9,3.9,3.9,-3.9,-1.6,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Low Producing Grassland,89.0,89.0,89.0,89.0,89.0,1.4,1.4,1.4,1.4,1.4,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Indigenous Forest,9.3,9.3,9.3,9.3,9.3,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Twelve-mile NZ territorial limit (Marine),6.3,6.3,6.3,6.3,6.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Built-up Area (settlement),5.1,5.1,5.1,5.1,5.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Gorse and/or Broom,2.4,2.4,2.4,4.2,4.2,0.0,0.0,0.0,0.1,0.1,1.8,73.5,08/26/2025 16:12:47
Canterbury Region,Port Levy,1004093,Deciduous Hardwoods,3.1,3.1,3.1,3.1,3.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Catchment Area,284533.0,284533.0,284533.0,284533.0,284533.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Gravel or Rock,80360.0,80344.0,80462.1,80440.4,80649.6,28.2,28.2,28.3,28.3,28.3,289.6,0.4,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Tall Tussock Grassland,52590.1,52571.0,52571.0,52571.0,52571.0,18.5,18.5,18.5,18.5,18.5,-19.1,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Low Producing Grassland,39109.4,38179.0,37130.9,36900.0,36867.8,13.8,13.4,13.1,13.0,13.0,-2241.6,-5.7,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,High Producing Exotic Grassland,22698.5,23634.1,24707.9,25087.0,25750.0,8.0,8.3,8.7,8.8,9.1,3051.4,13.4,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Indigenous Forest,23520.6,23520.6,23520.6,23520.6,23520.6,8.3,8.3,8.3,8.3,8.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Sub Alpine Shrubland,17600.7,17600.7,17600.7,17600.7,17600.7,6.2,6.2,6.2,6.2,6.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Alpine Grass/Herbfield,7112.4,7112.4,7112.4,7112.4,7112.4,2.5,2.5,2.5,2.5,2.5,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Matagouri or Grey Scrub,7384.8,7380.7,7439.3,7403.6,7059.9,2.6,2.6,2.6,2.6,2.5,-324.8,-4.4,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Gorse and/or Broom,6867.0,6687.9,6069.7,6067.9,5778.9,2.4,2.4,2.1,2.1,2.0,-1088.1,-15.9,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Lake or Pond,4837.7,4850.5,4859.6,4862.4,4870.3,1.7,1.7,1.7,1.7,1.7,32.6,0.7,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Permanent Snow and Ice,4816.2,4816.2,4816.2,4816.2,4816.2,1.7,1.7,1.7,1.7,1.7,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Manuka and/or Kanuka,4750.2,4794.9,4793.9,4793.9,4777.7,1.7,1.7,1.7,1.7,1.7,27.5,0.6,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,River,2414.3,2414.3,2414.3,2414.3,2414.3,0.9,0.9,0.9,0.9,0.9,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Exotic Forest,2228.7,2361.7,2777.0,2629.4,2307.5,0.8,0.8,1.0,0.9,0.8,78.8,3.5,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Short-rotation Cropland,1983.4,1983.4,1990.9,1990.9,1990.9,0.7,0.7,0.7,0.7,0.7,7.5,0.4,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Herbaceous Freshwater Vegetation,1808.6,1808.6,1808.6,1808.6,1811.5,0.6,0.6,0.6,0.6,0.6,2.9,0.2,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Deciduous Hardwoods,1064.3,1085.5,1122.3,1118.1,1113.4,0.4,0.4,0.4,0.4,0.4,49.0,4.6,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Broadleaved Indigenous Hardwoods,918.2,918.2,917.2,917.2,917.2,0.3,0.3,0.3,0.3,0.3,-1.0,-0.1,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Depleted Grassland,786.6,786.6,786.6,786.6,786.6,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Fernland,783.2,783.2,752.0,752.0,669.4,0.3,0.3,0.3,0.3,0.2,-113.7,-14.5,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Landslide,624.1,624.1,624.1,624.1,624.1,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Forest - Harvested,,1.4,,62.8,264.8,,0.0,,0.0,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Mixed Exotic Shrubland,113.0,113.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,-21.0,-18.6,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Built-up Area (settlement),84.3,84.3,84.3,84.3,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Flaxland,53.5,53.5,53.5,53.5,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Urban Parkland/Open Space,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Estuarine Open Water,8.2,8.2,8.2,8.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Sand or Gravel,,,2.8,,5.4,,,0.0,,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rakaia River,1004108,Surface Mine or Dump,4.4,4.4,4.4,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Catchment Area,178699.8,178699.8,178699.8,178699.8,178699.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Gravel or Rock,50330.1,50322.2,50323.8,50511.4,50384.5,28.2,28.2,28.2,28.3,28.2,54.4,0.1,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Tall Tussock Grassland,48813.9,48813.9,48813.9,48813.9,48813.9,27.3,27.3,27.3,27.3,27.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,High Producing Exotic Grassland,21287.2,21579.4,22439.8,22342.1,22252.9,11.9,12.1,12.6,12.5,12.5,965.7,4.5,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Low Producing Grassland,24550.8,24532.4,22443.0,22037.8,22016.8,13.7,13.7,12.6,12.3,12.3,-2533.9,-10.3,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Sub Alpine Shrubland,7699.4,7699.4,7699.4,7699.4,7699.4,4.3,4.3,4.3,4.3,4.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Alpine Grass/Herbfield,5214.2,5214.2,5214.2,5214.2,5214.2,2.9,2.9,2.9,2.9,2.9,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Permanent Snow and Ice,3801.1,3801.1,3801.1,3801.1,3801.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Matagouri or Grey Scrub,3157.9,3155.8,3151.0,3148.1,3137.4,1.8,1.8,1.8,1.8,1.8,-20.5,-0.7,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Depleted Grassland,3035.9,3035.9,3035.9,3035.9,3035.9,1.7,1.7,1.7,1.7,1.7,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Exotic Forest,793.6,831.2,2221.6,2580.8,2555.7,0.4,0.5,1.2,1.4,1.4,1762.1,222.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Indigenous Forest,2178.6,2178.6,2178.6,2178.6,2178.6,1.2,1.2,1.2,1.2,1.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Gorse and/or Broom,2260.5,1916.8,1865.2,1797.1,1741.0,1.3,1.1,1.0,1.0,1.0,-519.5,-23.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,River,1170.7,1170.7,1170.7,1185.9,1185.9,0.7,0.7,0.7,0.7,0.7,15.2,1.3,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Herbaceous Freshwater Vegetation,1087.2,1087.2,1049.8,1035.2,1035.2,0.6,0.6,0.6,0.6,0.6,-52.0,-4.8,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Broadleaved Indigenous Hardwoods,953.8,960.9,960.9,960.9,960.9,0.5,0.5,0.5,0.5,0.5,7.1,0.7,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Deciduous Hardwoods,672.6,674.9,658.1,652.2,649.9,0.4,0.4,0.4,0.4,0.4,-22.6,-3.4,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Lake or Pond,48.6,48.6,60.4,88.7,514.3,0.0,0.0,0.0,0.1,0.3,465.6,957.5,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Short-rotation Cropland,609.1,609.1,606.3,565.2,472.6,0.3,0.3,0.3,0.3,0.3,-136.5,-22.4,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Manuka and/or Kanuka,464.3,461.7,461.7,461.7,461.7,0.3,0.3,0.3,0.3,0.3,-2.5,-0.6,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Landslide,235.3,235.3,235.3,235.3,235.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Fernland,226.4,226.4,226.4,226.4,226.4,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Mixed Exotic Shrubland,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Forest - Harvested,32.6,67.9,6.4,41.8,36.5,0.0,0.0,0.0,0.0,0.0,3.9,12.1,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Surface Mine or Dump,8.7,8.7,8.7,18.6,22.1,0.0,0.0,0.0,0.0,0.0,13.5,155.4,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Built-up Area (settlement),21.2,21.2,21.2,21.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Urban Parkland/Open Space,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Sand or Gravel,4.2,4.2,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Rangitata River,1004106,Twelve-mile NZ territorial limit (Marine),0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Catchment Area,77574.1,77574.1,77574.1,77574.1,77574.1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,High Producing Exotic Grassland,43856.1,43584.1,43802.0,44137.0,44496.7,56.5,56.2,56.5,56.9,57.4,640.6,1.5,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Low Producing Grassland,9181.9,8902.2,7941.9,8003.7,7993.5,11.8,11.5,10.2,10.3,10.3,-1188.3,-12.9,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Exotic Forest,7549.6,8118.5,9074.9,8262.0,7113.7,9.7,10.5,11.7,10.7,9.2,-435.8,-5.8,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Short-rotation Cropland,6126.8,6126.8,6095.4,6095.4,6211.2,7.9,7.9,7.9,7.9,8.0,84.4,1.4,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Gorse and/or Broom,3968.3,3813.1,3577.6,3401.3,3221.7,5.1,4.9,4.6,4.4,4.2,-746.6,-18.8,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Indigenous Forest,2566.9,2566.9,2566.9,2566.9,2566.9,3.3,3.3,3.3,3.3,3.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Forest - Harvested,87.6,216.7,228.3,822.4,1593.4,0.1,0.3,0.3,1.1,2.1,1505.9,1720.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Tall Tussock Grassland,1075.6,1075.6,1075.6,1075.6,1075.6,1.4,1.4,1.4,1.4,1.4,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Deciduous Hardwoods,757.2,772.0,763.3,742.6,742.6,1.0,1.0,1.0,1.0,1.0,-14.6,-1.9,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Manuka and/or Kanuka,542.1,534.9,525.4,525.4,524.7,0.7,0.7,0.7,0.7,0.7,-17.4,-3.2,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Gravel or Rock,464.1,464.1,464.1,464.1,471.4,0.6,0.6,0.6,0.6,0.6,7.3,1.6,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Broadleaved Indigenous Hardwoods,383.1,383.1,379.7,379.7,396.7,0.5,0.5,0.5,0.5,0.5,13.6,3.6,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Sub Alpine Shrubland,291.4,291.4,291.4,291.4,291.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Built-up Area (settlement),185.5,187.6,193.7,193.7,193.7,0.2,0.2,0.3,0.3,0.3,8.2,4.4,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Herbaceous Saline Vegetation,167.0,167.0,167.0,167.0,167.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Matagouri or Grey Scrub,149.4,149.4,149.4,149.4,149.4,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Fernland,68.9,68.9,68.9,68.9,68.9,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Lake or Pond,16.1,16.1,22.4,28.5,65.1,0.0,0.0,0.0,0.0,0.1,49.0,304.6,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,River,40.0,40.0,52.3,52.3,52.3,0.1,0.1,0.1,0.1,0.1,12.3,30.8,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Surface Mine or Dump,11.1,9.7,10.7,23.1,50.0,0.0,0.0,0.0,0.0,0.1,38.9,350.5,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Urban Parkland/Open Space,43.3,43.3,43.3,43.3,43.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,"Orchard, Vineyard or Other Perennial Crop",2.3,2.7,38.8,39.2,39.2,0.0,0.0,0.1,0.1,0.1,36.9,1640.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Herbaceous Freshwater Vegetation,26.7,26.7,26.7,26.7,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Mixed Exotic Shrubland,4.7,4.7,4.7,4.7,9.1,0.0,0.0,0.0,0.0,0.0,4.5,95.8,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Estuarine Open Water,3.8,3.8,3.8,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Flaxland,3.7,3.7,3.7,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Selwyn River,1004102,Transport Infrastructure,1.3,1.3,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,1.1,83.2,08/26/2025 16:12:47
Canterbury Region,Taieri FMU,1004207,Catchment Area,167.2,167.2,167.2,167.2,167.2,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Taieri FMU,1004207,Tall Tussock Grassland,147.7,147.7,147.7,147.7,147.7,88.4,88.4,88.4,88.4,88.4,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Taieri FMU,1004207,Gravel or Rock,12.7,12.7,12.7,12.7,12.7,7.6,7.6,7.6,7.6,7.6,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Taieri FMU,1004207,Low Producing Grassland,2.8,2.8,2.8,2.8,2.8,1.7,1.7,1.7,1.7,1.7,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Taieri FMU,1004207,Alpine Grass/Herbfield,2.0,2.0,2.0,2.0,2.0,1.2,1.2,1.2,1.2,1.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Taieri FMU,1004207,Surface Mine or Dump,1.9,1.9,1.9,1.9,1.9,1.2,1.2,1.2,1.2,1.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Catchment Area,6483.7,6483.7,6483.7,6483.7,6483.7,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,High Producing Exotic Grassland,4120.7,4082.1,4041.3,4034.8,4009.8,63.6,63.0,62.3,62.2,61.9,-110.9,-2.7,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Built-up Area (settlement),1306.0,1326.9,1357.2,1361.9,1375.8,20.1,20.5,20.9,21.0,21.2,69.8,5.3,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Short-rotation Cropland,586.7,586.7,586.7,585.7,584.4,9.1,9.1,9.1,9.0,9.0,-2.3,-0.4,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Urban Parkland/Open Space,197.1,197.1,215.0,215.0,221.7,3.0,3.0,3.3,3.3,3.4,24.5,12.5,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Exotic Forest,122.0,140.5,141.8,146.3,146.3,1.9,2.2,2.2,2.3,2.3,24.3,19.9,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Deciduous Hardwoods,87.3,87.3,82.5,82.5,82.5,1.4,1.4,1.3,1.3,1.3,-4.8,-5.5,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,River,18.9,18.9,18.9,18.9,18.9,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Low Producing Grassland,17.9,15.9,21.1,17.9,17.9,0.3,0.2,0.3,0.3,0.3,0.1,0.5,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Lake or Pond,5.1,5.1,5.1,6.6,7.9,0.1,0.1,0.1,0.1,0.1,2.8,55.9,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Transport Infrastructure,1.3,1.3,1.3,1.3,5.7,0.0,0.0,0.0,0.0,0.1,4.3,323.5,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Sand or Gravel,5.1,5.1,5.1,5.1,5.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Twelve-mile NZ territorial limit (Marine),3.0,3.0,3.0,3.0,3.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Broadleaved Indigenous Hardwoods,2.7,2.7,2.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Gorse and/or Broom,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Timaru,1004035,Gravel or Rock,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Buller,1000004,Catchment Area,185.4,185.4,185.4,185.4,185.4,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Buller,1000004,Gravel or Rock,163.1,163.1,163.1,163.1,163.1,87.9,87.9,87.9,87.9,87.9,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Buller,1000004,Tall Tussock Grassland,14.2,14.2,14.2,14.2,14.2,7.7,7.7,7.7,7.7,7.7,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Buller,1000004,Alpine Grass/Herbfield,8.2,8.2,8.2,8.2,8.2,4.4,4.4,4.4,4.4,4.4,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Lakes Rohe,1004201,Catchment Area,94.2,94.2,94.2,94.2,94.2,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Lakes Rohe,1004201,Tall Tussock Grassland,36.6,36.6,36.6,36.6,36.6,38.9,38.9,38.9,38.9,38.9,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Lakes Rohe,1004201,Gravel or Rock,27.5,27.5,27.5,27.5,27.5,29.2,29.2,29.2,29.2,29.2,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Lakes Rohe,1004201,Alpine Grass/Herbfield,26.0,26.0,26.0,26.0,26.0,27.6,27.6,27.6,27.6,27.6,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Lakes Rohe,1004201,Permanent Snow and Ice,4.0,4.0,4.0,4.0,4.0,4.3,4.3,4.3,4.3,4.3,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Upper Lakes Rohe,1004201,Landslide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Catchment Area,333020.1,333020.1,333020.1,333020.1,333020.1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,High Producing Exotic Grassland,65993.7,65835.2,66621.7,67297.0,68049.6,19.8,19.8,20.0,20.2,20.4,2055.9,3.1,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Indigenous Forest,67177.7,67176.7,67170.6,67151.8,67154.5,20.2,20.2,20.2,20.2,20.2,-23.2,0.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Low Producing Grassland,54044.9,53483.5,51883.9,51371.8,51478.1,16.2,16.1,15.6,15.4,15.5,-2566.8,-4.8,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Tall Tussock Grassland,43465.8,43465.8,43435.7,43412.2,43412.2,13.1,13.1,13.0,13.0,13.0,-53.6,-0.1,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Manuka and/or Kanuka,30849.3,30853.4,30521.5,30291.9,30086.4,9.3,9.3,9.2,9.1,9.0,-762.9,-2.5,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Gravel or Rock,21119.8,21115.4,20942.7,20945.2,20999.3,6.3,6.3,6.3,6.3,6.3,-120.5,-0.6,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Sub Alpine Shrubland,12423.9,12409.8,12308.9,12293.8,12292.6,3.7,3.7,3.7,3.7,3.7,-131.4,-1.1,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Exotic Forest,7261.6,7554.1,9362.3,9336.9,9512.2,2.2,2.3,2.8,2.8,2.9,2250.6,31.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Short-rotation Cropland,8843.1,8836.2,8770.8,8794.5,8799.6,2.7,2.7,2.6,2.6,2.6,-43.5,-0.5,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Gorse and/or Broom,8532.7,8622.1,7943.4,7804.8,7170.9,2.6,2.6,2.4,2.3,2.2,-1361.9,-16.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Broadleaved Indigenous Hardwoods,2486.0,2493.3,2536.5,2509.9,2512.7,0.8,0.8,0.8,0.8,0.8,26.7,1.1,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Alpine Grass/Herbfield,2095.4,2095.4,2095.4,2095.4,2095.4,0.6,0.6,0.6,0.6,0.6,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,River,1844.3,1844.3,1845.5,1848.3,1844.3,0.6,0.6,0.6,0.6,0.6,0.0,0.0,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Deciduous Hardwoods,1918.0,1928.2,1824.6,1709.5,1577.6,0.6,0.6,0.6,0.5,0.5,-340.4,-17.8,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Matagouri or Grey Scrub,1186.9,1242.6,1326.8,1384.4,1403.8,0.4,0.4,0.4,0.4,0.4,216.9,18.3,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Landslide,977.5,996.0,996.0,1004.2,1005.0,0.3,0.3,0.3,0.3,0.3,27.5,2.8,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Fernland,861.5,1087.0,1144.2,948.6,948.6,0.3,0.3,0.3,0.3,0.3,87.1,10.1,08/26/2025 16:12:47
Canterbury Region,Waiau River,1004048,Depleted Grassland,920.9,920.9,920.9,920.9,920.9,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
